Metric,Value
LOSO_weight_corr_with_pooled_mean,0.996658170551473
LOSO_weight_corr_with_pooled_sd,0.00829428015395318
LOSO_weight_corr_with_pooled_min,0.929626421103727
Bootstrap_weight_corr_with_pooled_mean,0.832705003461919
Bootstrap_weight_corr_with_pooled_sd,0.0858339076963857
Bootstrap_weight_corr_with_pooled_CI95_low,0.606410368064367
Bootstrap_weight_corr_with_pooled_CI95_high,0.932686631780503
SplitHalf_weight_corr_between_halves_mean,0.381059093719524
SplitHalf_weight_corr_between_halves_sd,0.138975109510686
SplitHalf_weight_corr_between_halves_CI95_low,0.0582214162225393
SplitHalf_weight_corr_between_halves_CI95_high,0.602625265282273
SplitHalf_halfA_corr_with_pooled_mean,0.822342743884992
SplitHalf_halfB_corr_with_pooled_mean,0.824558207428263
